Router Name,ACL ID,Action,Protocol,Source,Destination,Extra,Interface (In/Out)
bbra,3,permit,,171.64.0.0/0.3.255.255,any,,
bbra,3,permit,,172.27.16.32/0.0.0.31,any,,
bbra,4,permit,,171.64.0.0/0.3.255.255,any,,
bbra,4,permit,,128.12.0.0/0.0.255.255,any,,
bbra,8,permit,,171.64.2.192,any,,
bbra,8,permit,,192.168.8.0,any,,
bbra,16,permit,,66.250.3.76,any,,
bbra,17,permit,,171.64.17.224,any,,
bbra,20,permit,,10.252.0.0,any,,
bbra,21,permit,,172.20.0.208/0.0.0.7,any,,
bbra,21,permit,,172.20.0.216/0.0.0.3,any,,
bbra,21,permit,,172.20.0.160/0.0.0.31,any,,
bbra,22,permit,,171.67.249.0/0.0.0.127,any,,
bbra,23,permit,,171.67.248.0/0.0.3.255,any,,
bbra,23,permit,,172.27.248.0/0.0.3.255,any,,
bbra,23,permit,,172.20.1.224/0.0.0.7,any,,
bbra,24,permit,,172.24.0.0,any,,
bbra,28,permit,,128.12.0.0,any,,
bbra,29,permit,,128.12.0.0/0.0.255.255,any,,
bbra,29,permit,,172.19.0.0/0.0.255.255,any,,
bbra,32,permit,,128.12.0.0,any,,
bbra,32,permit,,171.64.0.0,any,,
bbra,39,permit,,204.152.100.0/0.0.3.255,any,,
bbra,48,permit,,10.248.0.0,any,,
bbra,49,permit,,209.11.184.0,any,,
bbra,50,permit,,10.250.0.0,any,,
bbra,51,permit,,10.50.0.0,any,,
bbra,52,permit,,10.50.0.0,any,,
bbra,52,permit,,10.248.0.0,any,,
bbra,52,permit,,10.252.0.0,any,,
bbra,64,permit,,171.64.0.0,any,,
bbra,65,permit,,171.65.0.0,any,,
bbra,66,permit,,171.66.96.0,any,,
bbra,70,permit,,171.67.248.0,any,,
bbra,70,permit,,171.67.250.0,any,,
bbra,70,permit,,172.27.250.0,any,,
bbra,70,permit,,172.27.248.0,any,,
bbra,70,permit,,171.64.0.87,any,,
bbra,71,permit,,171.64.0.0/0.3.255.255,any,,
bbra,72,permit,,137.164.28.0/0.0.0.255,any,,
bbra,88,permit,,any,any,,
bbra,89,permit,,0.0.0.0,any,,
bbra,90,permit,,0.0.0.0,any,,
bbra,91,permit,,any,any,,
bbra,97,deny,,172.16.0.0/0.0.255.255,any,,
bbra,97,permit,,any,any,,
bbra,99,deny,,any,any,,
bbra,1411,permit,,171.67.9.0,any,,
bbra,1412,permit,,171.67.11.32,any,,
bbra,1412,permit,,171.67.11.0,any,,
bbra,1413,permit,,171.67.9.160,any,,
bbra,1413,permit,,171.67.9.128,any,,
bbra,1413,permit,,192.169.249.13,any,,
bbra,1414,permit,,171.67.32.0,any,,
bbra,1415,permit,,171.67.9.192,any,,
bbra,1428,permit,,192.168.249.28,any,,
bbra,1428,permit,,172.28.0.0,any,,
bbra,110,permit,ip,172.20.4.195,172.20.4.1,,
bbra,110,permit,ip,172.20.4.1,172.20.4.195,,
bbra,135,deny,tcp,any,any,eq 445,
bbra,135,permit,tcp,any,any,gt 139,
bbra,135,deny,tcp,any,any,gt 134,
bbra,135,permit,tcp,any,any,,
bbra,135,permit,udp,any,any,gt netbios-ss,
bbra,135,deny,udp,any,any,gt 134,
bbra,135,permit,ip,any,any,,
bbra,137,permit,ip,128.12.184.0 0.0.7.255,any,,
bbra,137,deny,tcp,any,any,eq 445,
bbra,137,permit,tcp,any,any,gt 139,
bbra,137,deny,tcp,any,any,gt 134,
bbra,137,permit,tcp,any,any,,
bbra,137,permit,udp,any,any,gt netbios-ss,
bbra,137,deny,udp,any,any,gt 134,
bbra,137,permit,ip,any,any,,
bbra,139,deny,tcp,any,any,eq 445,
bbra,139,permit,tcp,any,any,gt 139,
bbra,139,deny,tcp,any,any,gt 134,
bbra,139,permit,tcp,any,any,,
bbra,139,permit,udp,any,any,gt netbios-ss,
bbra,139,deny,udp,any,any,gt 134,
bbra,139,permit,ip,any,any,,
bbra,140,deny,tcp,any,any,eq 445,
bbra,140,permit,ip,any,any,,
bbrb,3,permit,,171.64.0.0/0.3.255.255,any,,
bbrb,3,permit,,172.27.16.32/0.0.0.31,any,,
bbrb,4,permit,,171.64.0.0/0.3.255.255,any,,
bbrb,4,permit,,128.12.0.0/0.0.255.255,any,,
bbrb,8,permit,,171.64.2.192,any,,
bbrb,8,permit,,192.168.8.0,any,,
bbrb,16,permit,,66.250.3.76,any,,
bbrb,17,permit,,171.64.17.224,any,,
bbrb,20,permit,,10.252.0.0,any,,
bbrb,21,permit,,172.20.0.208/0.0.0.7,any,,
bbrb,21,permit,,172.20.0.216/0.0.0.3,any,,
bbrb,21,permit,,172.20.0.160/0.0.0.31,any,,
bbrb,22,permit,,171.67.249.0/0.0.0.127,any,,
bbrb,23,permit,,171.67.248.0/0.0.3.255,any,,
bbrb,23,permit,,172.27.248.0/0.0.3.255,any,,
bbrb,24,permit,,172.24.0.0,any,,
bbrb,28,permit,,128.12.0.0,any,,
bbrb,29,permit,,128.12.0.0/0.0.255.255,any,,
bbrb,29,permit,,172.19.0.0/0.0.255.255,any,,
bbrb,32,permit,,128.12.0.0,any,,
bbrb,32,permit,,171.64.0.0,any,,
bbrb,39,permit,,204.152.100.0/0.0.3.255,any,,
bbrb,48,permit,,10.248.0.0,any,,
bbrb,49,permit,,209.11.184.0,any,,
bbrb,50,permit,,10.250.0.0,any,,
bbrb,51,permit,,10.50.0.0,any,,
bbrb,52,permit,,10.252.0.0,any,,
